dataset,bins,leaves,n_nodes,method,time_mean_s,time_std_s,time_min_s,time_max_s,n_repeats
adult_income,5,25,49,usefulness,0.00940217710000013,6.066824637853766e-05,0.009334138000014036,0.009511075999995455,10
adult_income,5,25,49,permutation,0.19362686840000265,0.003560556706920387,0.18757283799999414,0.19752133699998353,10
adult_income,5,25,49,shap,0.0010600221000032662,1.773024182395399e-05,0.0010359869999945204,0.0010981260000164639,10
adult_income,5,25,49,lime,0.5697261103000016,0.009786553730810584,0.555323627000007,0.5821911169999794,10
adult_income,5,38,75,usefulness,0.014987883200001306,0.00023497309096241623,0.01429616999999439,0.015114576000001989,10
adult_income,5,38,75,permutation,0.19111443200000053,0.0013264016679579793,0.1888819529999921,0.1936932049999882,10
adult_income,5,38,75,shap,0.0012933022999987998,4.3916128443229534e-05,0.0012578589999918677,0.0014124210000261428,10
adult_income,5,38,75,lime,0.5647073812999992,0.0021552135166660524,0.5618098420000024,0.5674470449999944,10
adult_income,5,59,117,usefulness,0.025378987200005552,0.00020020101148923546,0.025190201000015122,0.02586773699999867,10
adult_income,5,59,117,permutation,0.19387780290000195,0.0013455897423839637,0.19230764599998906,0.1969618019999757,10
adult_income,5,59,117,shap,0.002018181099992944,3.0588876130430174e-05,0.0019945640000003095,0.0020998429999963264,10
adult_income,5,59,117,lime,0.5664957986000019,0.00182137279264781,0.5642079840000065,0.5701488340000083,10
adult_income,5,90,179,usefulness,0.040463819100003205,0.0003152372167044066,0.03956255600002123,0.040765964000001986,10
adult_income,5,90,179,permutation,0.19917031280000116,0.003872100532867936,0.19474411499999178,0.20753200400000082,10
adult_income,5,90,179,shap,0.0033535150000005842,6.202034879817205e-05,0.003290867999993452,0.003524161999990838,10
adult_income,5,90,179,lime,0.5994538863000031,0.002887411629853282,0.5921134650000113,0.6026642530000004,10
adult_income,5,138,275,usefulness,0.07763988650000328,0.016742777545590014,0.07142532399998913,0.12786054800000102,10
adult_income,5,138,275,permutation,0.21352765119999617,0.0007825273254908764,0.21287103200000956,0.2150813499999913,10
adult_income,5,138,275,shap,0.0054181131000007095,5.254683818169095e-05,0.005336364000015692,0.005535543999997117,10
adult_income,5,138,275,lime,0.5831355757999944,0.014624885870247722,0.560748894999989,0.6003827499999943,10
adult_income,5,211,421,usefulness,0.11416911199999617,0.016894825080437853,0.10643905800000653,0.16479797299999177,10
adult_income,5,211,421,permutation,0.20089075199999798,0.001750216791330272,0.1984866309999802,0.20491961799999103,10
adult_income,5,211,421,shap,0.008224638099997605,5.3893533041169994e-05,0.00818007300000545,0.008367125000006581,10
adult_income,5,211,421,lime,0.5699615577000088,0.00248707627461234,0.5673949410000318,0.5759075280000161,10
adult_income,5,323,645,usefulness,0.1981677726999976,0.025744113163129006,0.18063225699995655,0.24009475500002964,10
adult_income,5,323,645,permutation,0.20500490399999763,0.001150236241344244,0.20359733200001529,0.20807860299998993,10
adult_income,5,323,645,shap,0.013657043599994267,5.9410048469438744e-05,0.013596809000034682,0.013780832999998438,10
adult_income,5,323,645,lime,0.6074103763999972,0.004814165594158931,0.5959616889999779,0.6162127619999751,10
adult_income,5,495,989,usefulness,0.3530078371000059,0.02539965959005063,0.3136791560000347,0.3724515739999674,10
adult_income,5,495,989,permutation,0.22493051439999476,0.0011442853113420206,0.22377797100000407,0.22794231899996475,10
adult_income,5,495,989,shap,0.02494256850001193,0.00015590186113692865,0.024582245000033254,0.02514487100000906,10
adult_income,5,495,989,lime,0.5973316416999921,0.017266561031445554,0.5749943949999761,0.618613842000002,10
adult_income,5,758,1515,usefulness,0.5814724868999974,0.02749365154672472,0.5462094929999921,0.6068809910000255,10
adult_income,5,758,1515,permutation,0.21059875720000604,0.0012890053656271652,0.20908996600002183,0.21344618199998422,10
adult_income,5,758,1515,shap,0.04020856059999005,6.376410284610583e-05,0.04010623799996438,0.04034590100002333,10
adult_income,5,758,1515,lime,0.593986079799987,0.020082456993492877,0.5733289959999865,0.6308417070000019,10
adult_income,5,1162,2323,usefulness,0.9896809451999957,0.03826566865892462,0.9130647149999618,1.061174225000002,10
adult_income,5,1162,2323,permutation,0.22351486360000763,0.006816461923041958,0.21399859299998525,0.23237935700001344,10
adult_income,5,1162,2323,shap,0.06621080029999575,0.0004441419604389769,0.06574841899998773,0.06735862499999712,10
adult_income,5,1162,2323,lime,0.5712109412000018,0.007190593442825325,0.5664644329999646,0.5919535330000372,10
