strategy,bins,feature,importance,std
uniform,3,race,0.026180700977621135,0.007852057320575681
uniform,3,sex,0.03994960963284275,0.008158249524558986
uniform,3,age,0.0514592237688025,0.012672004194316723
uniform,3,fnlwgt,0.028268944325289935,0.00870921105742502
uniform,3,workclass,0.04563041910658063,0.010134613216489542
uniform,3,education,0.06258237022223702,0.006735448334764486
uniform,3,education-num,0.11929380176381066,0.01387769805230129
uniform,3,marital-status,0.17116865577616389,0.008703266388471645
uniform,3,occupation,0.03805175296888401,0.010289701673879529
uniform,3,relationship,0.05934839284550145,0.011963304596939835
uniform,3,capital-gain,0.21286651950093702,0.018698082181317837
uniform,3,capital-loss,0.07759494919987003,0.010025872676955842
uniform,3,hours-per-week,0.04690764341048172,0.01041423660089122
uniform,3,native-country,0.020697016500977328,0.008093373070711025
uniform,4,race,0.02458309429274104,0.01054836346221857
uniform,4,sex,0.021314087041535253,0.005763528967974832
uniform,4,age,0.05838109114631391,0.011252707325461794
uniform,4,fnlwgt,0.037972667740560476,0.010928901419003035
uniform,4,workclass,0.03613898171081338,0.009140027106570414
uniform,4,education,0.028092505420296433,0.008680891566565685
uniform,4,education-num,0.1341599053705093,0.009109727924147557
uniform,4,marital-status,0.17511342890721898,0.010101395549201267
uniform,4,occupation,0.036633549641704344,0.008691096833975379
uniform,4,relationship,0.038415457348620625,0.011942087144878315
uniform,4,capital-gain,0.2200265902298162,0.017659306630878262
uniform,4,capital-loss,0.09726319558315362,0.015201608743200907
uniform,4,hours-per-week,0.07990143260841565,0.015279226594415446
uniform,4,native-country,0.012004012958300841,0.006387976730470947
uniform,5,race,0.01302930206559439,0.0042583184823065875
uniform,5,sex,0.01792971480142656,0.00785350232058836
uniform,5,age,0.06068633444444922,0.009021200645372889
uniform,5,fnlwgt,0.029992977531243123,0.007633632704059552
uniform,5,workclass,0.026512357909508857,0.007909029012752046
uniform,5,education,0.027273551003571424,0.0074065200311100735
uniform,5,education-num,0.14898647572767457,0.022280281946337507
uniform,5,marital-status,0.11770196508397036,0.00791270391562459
uniform,5,occupation,0.04411183512439336,0.009290626181417167
uniform,5,relationship,0.1315357196677518,0.009020462833066088
uniform,5,capital-gain,0.23658929707234855,0.01724514850501274
uniform,5,capital-loss,0.11301117829838545,0.014129448122070462
uniform,5,hours-per-week,0.02544132410977589,0.007162784866941496
uniform,5,native-country,0.00719796715990636,0.0045424208476575354
uniform,6,race,0.019729107808626183,0.00814959009729675
uniform,6,sex,0.013522650051444334,0.0045707754190180885
uniform,6,age,0.05542225870233141,0.009512150160693997
uniform,6,fnlwgt,0.030662573301177956,0.0073316752677169295
uniform,6,workclass,0.036100335484249874,0.0069561380173648315
uniform,6,education,0.028382341669729375,0.005907258169576172
uniform,6,education-num,0.15527095631097595,0.01913802932671753
uniform,6,marital-status,0.016593008183101256,0.007201598353662252
uniform,6,occupation,0.05360950682990919,0.009501941591395537
uniform,6,relationship,0.17308933781214914,0.011804401380083951
uniform,6,capital-gain,0.23058656273173908,0.014170493201191714
uniform,6,capital-loss,0.1104317549218746,0.017262893904751622
uniform,6,hours-per-week,0.059379659249155,0.009928056374373615
uniform,6,native-country,0.017219946943536745,0.006406282520968113
uniform,8,race,0.024133617614984025,0.008754932644700583
uniform,8,sex,0.016644281996055884,0.005428227994121746
uniform,8,age,0.06823702951543291,0.010831933552466099
uniform,8,fnlwgt,0.044035887138959826,0.006878996922515074
uniform,8,workclass,0.035658711568558446,0.005774616065152665
uniform,8,education,0.02340420767580587,0.0062605013075113245
uniform,8,education-num,0.16089687713565873,0.013268996505540477
uniform,8,marital-status,0.031061301498270702,0.010942742075662315
uniform,8,occupation,0.057509189085778845,0.008294749878113353
uniform,8,relationship,0.16463875205732362,0.008295201086635147
uniform,8,capital-gain,0.2006861685810464,0.015622370179985598
uniform,8,capital-loss,0.08873901102933238,0.012528558319571144
uniform,8,hours-per-week,0.07325185032197325,0.01275886160675925
uniform,8,native-country,0.011103114780819085,0.00513446358820399
quantile,3,race,0.09420324746794938,0.00949983455572369
quantile,3,sex,0.029092237242196138,0.004941238681853876
quantile,3,age,0.12245890796173083,0.008169360540770724
quantile,3,fnlwgt,0.04916361068772462,0.008417059805133856
quantile,3,workclass,0.053108144347469244,0.011612899187747841
quantile,3,education,0.05781732696626138,0.006793631568628482
quantile,3,education-num,0.18934947569096308,0.006242674448322849
quantile,3,marital-status,0.0754256303992235,0.009725570344729905
quantile,3,occupation,0.09405420695682064,0.011528784750284913
quantile,3,relationship,0.12745118603251243,0.0068324495234490835
quantile,3,capital-gain,0.0,0.0
quantile,3,capital-loss,0.0,0.0
quantile,3,hours-per-week,0.06533053120684856,0.006548573470123011
quantile,3,native-country,0.042545495040300196,0.010556757829988167
quantile,4,race,0.05979414619660572,0.008774760164973205
quantile,4,sex,0.024532003687870074,0.004715117748010657
quantile,4,age,0.1205740283462294,0.007875174317419993
quantile,4,fnlwgt,0.05793583344428217,0.005456381997841698
quantile,4,workclass,0.031305527128338,0.006318568234411312
quantile,4,education,0.03957205697695479,0.005750658944120161
quantile,4,education-num,0.20654899780403702,0.00826703893417271
quantile,4,marital-status,0.09204536118356252,0.006910269477552533
quantile,4,occupation,0.07533711595453167,0.00967159970564694
quantile,4,relationship,0.1533666747661612,0.007447763240595196
quantile,4,capital-gain,0.0,0.0
quantile,4,capital-loss,0.0,0.0
quantile,4,hours-per-week,0.11470284347209692,0.006765545771443306
quantile,4,native-country,0.024285411039330507,0.00503049483575114
quantile,5,race,0.05102486533653627,0.00785429037738113
quantile,5,sex,0.025497235120159164,0.0043583149748347315
quantile,5,age,0.13352445897053417,0.0089753934729634
quantile,5,fnlwgt,0.07014884077518026,0.006341197808643193
quantile,5,workclass,0.028276456040697485,0.00516403474200223
quantile,5,education,0.03348207210191013,0.004450593199053636
quantile,5,education-num,0.1948593841075423,0.006976889051517643
quantile,5,marital-status,0.09038919132938031,0.006460356346957076
quantile,5,occupation,0.09155895791068337,0.007274698624868932
quantile,5,relationship,0.14025563364452112,0.005063941961156091
quantile,5,capital-gain,0.0,0.0
quantile,5,capital-loss,0.0,0.0
quantile,5,hours-per-week,0.11604077854720891,0.00667328002669585
quantile,5,native-country,0.024942126115646474,0.005288672876138456
quantile,6,race,0.05176432076178374,0.006211376395471435
quantile,6,sex,0.025676476809596938,0.005523268934731805
quantile,6,age,0.14291648361172707,0.006577752692948175
quantile,6,fnlwgt,0.07463030094859172,0.006970369430813089
quantile,6,workclass,0.025072605767497643,0.004371901559068806
quantile,6,education,0.0324680957729252,0.003929882874301077
quantile,6,education-num,0.1837928251691759,0.005975526032286819
quantile,6,marital-status,0.0889226740942394,0.006402605481525703
