,usefulness,permutation,shap,lime
MedInc,0.23980364096918705,0.3857568091508371,0.4187140855362939,0.21123003032898116
HouseAge,0.18253552114951485,0.04095263959143255,0.08555043118499985,0.03703238146787609
AveRooms,0.03315992009904749,0.00014995725837028045,0.0014110922187725939,0.07495468000648271
AveBedrms,0.05206259380818681,0.00024301501687854255,0.0006601283222646325,0.09734604826125376
Population,0.011874350155777693,0.00020567397064115645,0.003028598519670595,0.05302030978822108
AveOccup,0.06594379863244454,4.9288376606258845e-06,0.00020169473622899103,0.07291407716979333
Latitude,0.1962651911378009,0.28554706769040084,0.2669873435457165,0.26960797097341455
Longitude,0.21835498404804066,0.287139908483779,0.22344662593605283,0.18389450200397728
