method,time_s,spearman_gt
usefulness,0.0797803230016143,0.7944613465542746
mdi,2.1356998331611976e-05,0.9710083124552245
permutation,0.10729061900201486,0.9710083124552245
shap,0.0063220949996321,0.9710083124552245
lime,0.4553413929970702,0.7061878636037996
integrated_gradients,2.99069897300069,0.8060599359358183
