,usefulness,mdi,permutation,shap,lime,integrated_gradients
usefulness,1.0,0.8876923076923079,0.8640849059809131,0.8615384615384617,0.8786813186813187,0.5707692307692307
mdi,0.8876923076923079,1.0,0.8488765847192294,0.9096703296703298,0.782857142857143,0.6628571428571427
permutation,0.8640849059809131,0.8488765847192294,1.0,0.8996805444115683,0.8235049986015184,0.7305598093947311
shap,0.8615384615384617,0.9096703296703298,0.8996805444115683,1.0,0.800879120879121,0.7604395604395605
lime,0.8786813186813187,0.782857142857143,0.8235049986015184,0.800879120879121,1.0,0.5142857142857143
integrated_gradients,0.5707692307692307,0.6628571428571427,0.7305598093947311,0.7604395604395605,0.5142857142857143,1.0
