dataset,bins,strategy,n_features,n_nodes,max_depth,accuracy,entity_space_log10,time_total_s,time_per_feature_s,time_std_s
california,3,uniform,8,119,9,0.6959786821705426,3.8169700377572995,0.006577649398968788,0.0008138103748933645,0.00017022243458990555
california,4,uniform,8,211,11,0.7621124031007752,4.3167249841904995,0.013673951200325973,0.001688311000179965,0.00016872625351931994
california,5,uniform,8,395,15,0.7955426356589147,5.176091259055681,0.03549241859946051,0.00451454374979221,0.0005742701019611673
california,6,uniform,8,591,16,0.7892441860465116,5.714664992862537,0.06298552619991823,0.007929228625016549,0.0017436522831880516
california,8,uniform,8,1009,16,0.8006298449612403,6.469692444399042,0.1516382979993068,0.017948364874882827,0.0229238731023184
