,usefulness,permutation,shap,lime
usefulness,1.0,0.8832167832167832,0.919300699300699,0.684615384615385
permutation,0.8832167832167832,1.0,0.8983216783216785,0.7373426573426575
shap,0.919300699300699,0.8983216783216785,1.0,0.7790209790209791
lime,0.684615384615385,0.7373426573426575,0.7790209790209791,1.0
