dataset,bins,strategy,n_features,n_nodes,max_depth,accuracy,entity_space_log10,time_total_s,time_per_feature_s,sweep
adult_income,3,uniform,14,599,17,0.8405436764462125,6.7254550566359494,0.09985257100015588,0.007132326500011134,bins
adult_income,4,uniform,14,799,20,0.8480026520802254,8.224719895935548,0.19939502899978834,0.014242502071413452,bins
adult_income,5,uniform,14,999,24,0.8491629371788496,9.387640052032227,0.29433259699999326,0.021023756928570947,bins
adult_income,6,uniform,14,1199,21,0.8489971821647605,10.337815004603724,0.5732440140000108,0.04094600100000077,bins
adult_income,5,uniform,14,99,12,0.8526437924747223,9.387640052032227,0.01913092799986771,0.0013664948571334077,leaves
adult_income,5,uniform,14,199,16,0.8534725675451682,9.387640052032227,0.043299984999976004,0.0030928560714268576,leaves
adult_income,5,uniform,14,399,17,0.8488314271506713,9.387640052032227,0.09825987800013536,0.007018562714295383,leaves
adult_income,5,uniform,14,799,19,0.8488314271506713,9.387640052032227,0.2346068470001228,0.0167576319285802,leaves
adult_income,5,uniform,14,1599,24,0.8445217967843527,9.387640052032227,0.6276496949999455,0.04483212107142468,leaves
adult_income,5,uniform,14,3199,27,0.8355710260235372,9.387640052032227,1.4094371420001153,0.1006740815714368,leaves
adult_income,5,uniform,14,6399,30,0.8213160948118681,9.387640052032227,3.287265588000082,0.23480468485714873,leaves
adult_income,5,uniform,14,8609,30,0.8138571191778551,9.387640052032227,4.607552082999973,0.3291108630714267,leaves
