dataset,bins,strategy,n_features,n_nodes,max_depth,accuracy,entity_space_log10,time_total_s,time_per_feature_s
bike_sharing,3,uniform,12,599,14,0.8288262370540852,5.447058752685506,0.07890781699984473,0.006575651416653727
bike_sharing,4,uniform,12,799,16,0.833716915995397,6.321629908943605,0.13781629400000384,0.011484691166666986
bike_sharing,5,uniform,12,999,21,0.8308400460299195,7.000000000000001,0.22507524699994974,0.018756270583329144
bike_sharing,6,uniform,12,1199,21,0.843210586881473,7.554268722333375,0.3703275409998241,0.03086062841665201
