n_features,n_nodes,time_s,peak_mem_mb
5,7,0.00015037799676065333,0.00193023681640625
10,7,0.0003538669989211485,0.002231597900390625
20,7,0.0008578269989811815,0.002780914306640625
40,7,0.0024249289999715984,0.003566741943359375
80,7,0.007329632000619313,0.005126953125
