strategy,bins,feature,importance,std
uniform,3,season,0.11497964396689214,0.010367587848435528
uniform,3,yr,0.09488092507102949,0.009709150673248028
uniform,3,holiday,0.014261334666636044,0.004014022781307261
uniform,3,workingday,0.05297965576273762,0.008355525367328188
uniform,3,weathersit,0.09304088734186859,0.010280298575779763
uniform,3,mnth,0.051849105484965685,0.009427834120951772
uniform,3,hr,0.22037774646872874,0.014878157771913054
uniform,3,weekday,0.04079698519919228,0.00690200597317261
uniform,3,temp,0.15774553965639485,0.03619055687864966
uniform,3,atemp,0.04394060065774721,0.030339247117055212
uniform,3,hum,0.08369154333192812,0.014129084922333423
uniform,3,windspeed,0.03145603239187925,0.00808704402228046
uniform,4,season,0.05583005649116835,0.008803615003372603
uniform,4,yr,0.1055859941671091,0.007486353044364298
uniform,4,holiday,0.010181300808125147,0.004610387103632855
uniform,4,workingday,0.05975899493683103,0.006784101288872143
uniform,4,weathersit,0.058249045823499206,0.005409543565334989
uniform,4,mnth,0.05263184982381541,0.00817366641014605
uniform,4,hr,0.2456190458804862,0.011213576246817606
uniform,4,weekday,0.0483014495650791,0.006273981026916594
uniform,4,temp,0.2006279683912222,0.01318955568268103
uniform,4,atemp,0.02344605103150712,0.005758422433541874
uniform,4,hum,0.10751257820735233,0.0077902574308218635
uniform,4,windspeed,0.03225566487380493,0.0046308724798675635
uniform,5,season,0.07817252244149331,0.010674626315807574
uniform,5,yr,0.09597213340328789,0.006041360620394727
uniform,5,holiday,0.00898995995646023,0.0038756073740633936
uniform,5,workingday,0.07079791059127596,0.005400280887120857
uniform,5,weathersit,0.047970413678722165,0.005570541766738899
uniform,5,mnth,0.052734053857941846,0.008170143755948269
uniform,5,hr,0.26538501572299106,0.007461693609359602
uniform,5,weekday,0.04617193975819531,0.006381739614454019
uniform,5,temp,0.0825266267001115,0.05183461889453839
uniform,5,atemp,0.09492184877610214,0.0498676928094734
uniform,5,hum,0.11825135714859256,0.008542385296969207
uniform,5,windspeed,0.03810621796482603,0.005331870965360438
uniform,6,season,0.07999262273341137,0.009383382168402319
uniform,6,yr,0.09401392182045906,0.004264840402416382
uniform,6,holiday,0.009333184542482203,0.003469355495099771
uniform,6,workingday,0.04745572382116345,0.005427800364228522
uniform,6,weathersit,0.07145422078904634,0.007858804960837615
uniform,6,mnth,0.0635868409197233,0.010520612458168755
uniform,6,hr,0.2663067063967253,0.009164221551778139
uniform,6,weekday,0.05876112391188373,0.005405363708588182
uniform,6,temp,0.12080572429481748,0.027557860620783494
uniform,6,atemp,0.04863897240974757,0.027009654671234368
uniform,6,hum,0.10390133755164027,0.006722966659578869
uniform,6,windspeed,0.035749620808900005,0.005625900379309187
uniform,8,season,0.0608742039860297,0.015032885411284705
uniform,8,yr,0.09559824847086246,0.006244117921810613
uniform,8,holiday,0.007367216563324951,0.002824570389861959
uniform,8,workingday,0.04806100234859105,0.005236854812899478
uniform,8,weathersit,0.0492301635916987,0.006049722093715407
uniform,8,mnth,0.06348315581908014,0.00796751906229703
uniform,8,hr,0.2620006482575197,0.008065836597707961
uniform,8,weekday,0.05145430012052699,0.005192218977869439
uniform,8,temp,0.15750687936811988,0.03188497551641592
uniform,8,atemp,0.046441231654390104,0.027796228123778702
uniform,8,hum,0.11117316431581084,0.007962274468533098
uniform,8,windspeed,0.046809785504045555,0.005936314615528635
quantile,3,season,0.10189953028402493,0.015759679507834842
quantile,3,yr,0.09157936989244073,0.00582884776855646
quantile,3,holiday,0.020351179906616536,0.006215251495243205
quantile,3,workingday,0.03728313318290189,0.006164464370970105
quantile,3,weathersit,0.09076850311030095,0.01192762883113757
quantile,3,mnth,0.045891906835317284,0.007023743989885466
quantile,3,hr,0.23452573328244392,0.011066041627827015
quantile,3,weekday,0.04691913633750974,0.008668693288713582
quantile,3,temp,0.13593474914222387,0.008668328099406888
quantile,3,atemp,0.06259572299985874,0.010580496812697378
quantile,3,hum,0.08870603537183769,0.011368105132737779
quantile,3,windspeed,0.04354499965452381,0.006528195325516746
quantile,4,season,0.06644352804588557,0.010994004974889416
quantile,4,yr,0.09952176736158029,0.006601049224700191
quantile,4,holiday,0.008780295903360125,0.00390893364538906
quantile,4,workingday,0.048862747675230606,0.007480303959822705
quantile,4,weathersit,0.06379970731856224,0.009189863063928268
quantile,4,mnth,0.04872318588040618,0.009195921193315202
quantile,4,hr,0.24646656698668548,0.011591440561079209
quantile,4,weekday,0.04801416038116761,0.005568812342232904
quantile,4,temp,0.07748241795741431,0.04485053656128142
quantile,4,atemp,0.1377800976118628,0.045581858005820076
quantile,4,hum,0.12127983534906636,0.008063486929888413
quantile,4,windspeed,0.032845689528778414,0.004883085908147948
quantile,5,season,0.054837937592799764,0.007804018255369344
quantile,5,yr,0.0851524602157316,0.004976565130158212
quantile,5,holiday,0.0064793002398686305,0.002862223696513066
quantile,5,workingday,0.04946314993181297,0.0064764599811813536
quantile,5,weathersit,0.0686549945076006,0.007717020074362276
quantile,5,mnth,0.07312075893405044,0.008670503428296538
quantile,5,hr,0.26433453319706834,0.0067766382457712234
quantile,5,weekday,0.05468534348390303,0.006279510493622455
quantile,5,temp,0.14880912279426342,0.01184059844085953
quantile,5,atemp,0.03593535121430141,0.008537928372845406
quantile,5,hum,0.10578942146907887,0.006611376837458691
quantile,5,windspeed,0.05273762641952087,0.0072381798910969965
quantile,6,season,0.07999837313792506,0.010203248444094624
quantile,6,yr,0.08388058450740309,0.005525007978494784
quantile,6,holiday,0.005807787499525344,0.002110044081045365
quantile,6,workingday,0.04113184446340468,0.006905674439564939
quantile,6,weathersit,0.0671338965921674,0.008922839736441058
quantile,6,mnth,0.06344760376653395,0.010246124748693481
quantile,6,hr,0.28211858054394434,0.010390230562077624
quantile,6,weekday,0.056562160238486044,0.007118965778152622
quantile,6,temp,0.14350413332443407,0.01103753022827598
quantile,6,atemp,0.03229456294716963,0.010645525067967346
quantile,6,hum,0.09792556761531909,0.010500975383210683
quantile,6,windspeed,0.0461949053636873,0.006745887701372217
quantile,8,season,0.058591366726123265,0.014589537739633186
quantile,8,yr,0.08909858358519854,0.005252841930044529
quantile,8,holiday,0.010414619220571342,0.003536832175078454
quantile,8,workingday,0.044750333166941623,0.006520597425674735
quantile,8,weathersit,0.061721895896295204,0.006839587214037556
quantile,8,mnth,0.073161013023094,0.00952506719152016
quantile,8,hr,0.2647105315893241,0.007088771815977453
quantile,8,weekday,0.05001068579820698,0.005195022821958255
quantile,8,temp,0.13353879983023959,0.039717779103133316
quantile,8,atemp,0.049864615520114015,0.03478055922732016
quantile,8,hum,0.119491536280789,0.008180423402459933
quantile,8,windspeed,0.044646019363102384,0.005504986317554467
kmeans,3,season,0.09271719075290355,0.012939229455502873
kmeans,3,yr,0.09709771782768355,0.007169409490242867
kmeans,3,holiday,0.021189568503256737,0.005746399702917811
kmeans,3,workingday,0.03751731425506254,0.005582907611222676
kmeans,3,weathersit,0.08737059616856468,0.014184862768719867
kmeans,3,mnth,0.041810175642980264,0.007552639900066137
kmeans,3,hr,0.23881032339827515,0.01097363756570594
kmeans,3,weekday,0.04881899142900101,0.00839389160431487
kmeans,3,temp,0.12943665256513792,0.022133139619343607
kmeans,3,atemp,0.07255985937921523,0.02289465275675137
kmeans,3,hum,0.10107680521761642,0.016151079137895395
kmeans,3,windspeed,0.03159480486030303,0.005919276718330923
kmeans,4,season,0.05970494313330539,0.007834003710121608
kmeans,4,yr,0.10098798362226664,0.006359608751062829
kmeans,4,holiday,0.010833094208331452,0.004246964226574819
kmeans,4,workingday,0.04832914300483126,0.005801443793633358
kmeans,4,weathersit,0.06911904936085263,0.006475282241153762
kmeans,4,mnth,0.05327810526556545,0.009749107615812382
kmeans,4,hr,0.24016886128083356,0.011843680001058203
kmeans,4,weekday,0.04499927743316352,0.006137956883352727
kmeans,4,temp,0.07224404135874689,0.03114681462732824
kmeans,4,atemp,0.15000774703474462,0.024709840567670917
kmeans,4,hum,0.11285223277189109,0.007559878953594561
kmeans,4,windspeed,0.037475521525467646,0.007161137268534883
kmeans,5,season,0.0642468367301091,0.011068782288686537
kmeans,5,yr,0.09742833705864387,0.006609714140194423
