,mean,ci_lo,ci_hi
usefulness,0.87831006565368,0.87831006565368,0.87831006565368
mdi,0.87831006565368,0.87831006565368,0.87831006565368
permutation,0.8789512018049462,0.87831006565368,0.8802334741074789
shap,0.87831006565368,0.87831006565368,0.87831006565368
lime,0.87831006565368,0.87831006565368,0.87831006565368
integrated_gradients,0.8392740627357387,0.7904790590883121,0.87831006565368
