method,time_s,n_nodes,n_features
usefulness,0.07832492200031993,573,8
mdi,2.641500032041222e-05,573,8
permutation,0.10749487199791474,573,8
shap,0.006406281001545722,573,8
lime,0.4502317949991266,573,8
integrated_gradients,3.2126759410020895,573,8
