,mean,ci_lo,ci_hi
usefulness,0.9381423725166191,0.9170605214488301,0.948683298050514
mdi,0.9381423725166191,0.9170605214488301,0.948683298050514
permutation,0.948683298050514,0.948683298050514,0.948683298050514
shap,0.9381423725166191,0.9170605214488301,0.948683298050514
lime,0.8327331171776733,0.7800284895082001,0.8854377448471462
integrated_gradients,0.9170605214488301,0.8854377448471462,0.948683298050514
