,spearman_gt,top1_hit,top3_recall
usefulness,0.807702368996846,0.5,1.0
mdi,0.9710083124552245,1.0,1.0
permutation,0.9752611285617906,1.0,1.0
shap,0.9710083124552245,1.0,1.0
lime,0.6973605153087523,0.0,1.0
integrated_gradients,0.7985208528378152,0.0,1.0
