,usefulness,mdi,permutation,shap,lime,integrated_gradients
usefulness,1.0,0.7392857142857145,0.822495625981199,0.7035714285714286,0.5940476190476189,0.7364382703953628
mdi,0.7392857142857145,1.0,0.9060744612378097,0.9630952380952383,0.5000000000000001,0.8593963515897455
permutation,0.822495625981199,0.9060744612378097,1.0,0.9123487074916292,0.6249650998712057,0.8554054218838678
shap,0.7035714285714286,0.9630952380952383,0.9123487074916292,1.0,0.5547619047619047,0.8864554424197497
lime,0.5940476190476189,0.5000000000000001,0.6249650998712057,0.5547619047619047,1.0,0.6086067755112089
integrated_gradients,0.7364382703953628,0.8593963515897455,0.8554054218838678,0.8864554424197497,0.6086067755112089,1.0
