,mean,ci_lo,ci_hi
usefulness,0.8077023689968458,0.7503246050790371,0.8606664587671305
mdi,0.9710083124552247,0.9710083124552247,0.9710083124552247
permutation,0.9752611285617908,0.9724259178240799,0.9780963392995012
shap,0.9710083124552247,0.9710083124552247,0.9710083124552247
lime,0.6973605153087522,0.6841194928661809,0.7061878636037997
integrated_gradients,0.7985208528378149,0.7962011349615061,0.8008405707141236
