,spearman_gt,top1_hit,top3_recall
usefulness,0.8783100656536801,1.0,0.9666666666666666
mdi,0.8783100656536801,1.0,1.0
permutation,0.8789512018049465,1.0,1.0
shap,0.8783100656536801,1.0,0.9833333333333334
lime,0.8783100656536801,1.0,0.6666666666666664
integrated_gradients,0.8392740627357387,1.0,0.7666666666666664
